id,title,category1,category2,url,image_url,created_at,updated_at
239,"남자 여자 뱃살 빼는 최고의 운동 BEST5 (누워서하는 복근운동, 복부비만 운동)",musle,,/watch?v=oVXQzsGGhaw,https://i.ytimg.com/vi/oVXQzsGGhaw/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBSEb2h9KcU0Xruwu2Z7_T4qs7I1Q,2017-07-09 06:28:28.661854,2017-07-09 06:41:16.854045
240,복근운동 초간단  5가지 쉬운 동작만으로 복근 빨리만드는 운동!,musle,,/watch?v=WJdNZr6UZdw,https://i.ytimg.com/vi/WJdNZr6UZdw/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLATrqewNkHjlqAppP2N1zPmZVqbFw,2017-07-09 06:28:28.664505,2017-07-09 06:41:17.030745
241,남자 여자 복근운동 코어운동 4분만에 조지자!,musle,,/watch?v=iL5qN7hPIuE,https://i.ytimg.com/vi/iL5qN7hPIuE/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCLeuORULKfYRUjYd22ThDKnvcsZA,2017-07-09 06:28:28.667111,2017-07-09 06:41:17.373915
242,"복근운동 종류&루틴 베스트5 (식스팩 11자복근 만들기, 외복사근 운동)",musle,,/watch?v=brXLMryCraY,https://i.ytimg.com/vi/brXLMryCraY/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDZKx8YgyN8gxFTkccbMHwCXTCBqw,2017-07-09 06:28:28.670198,2017-07-09 06:41:17.684521
243,코어운동 복부운동 모두 가능한 남자 요가,musle,,/watch?v=4dMJ1zwsBM8,https://i.ytimg.com/vi/4dMJ1zwsBM8/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDwuwYlyo0RffUmve3W46z6P009MQ,2017-07-09 06:28:41.142114,2017-07-09 06:41:18.020510
244,복합 운동: 가슴 근육+복근,musle,,/watch?v=lmBGlyjIYes,https://i.ytimg.com/vi/lmBGlyjIYes/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBxBC2jA7xCO7QoyBlDGiZWRP0BnQ,2017-07-09 06:28:41.147486,2017-07-09 06:41:18.371149
245,복근운동 하면 복근생겨요?,musle,,/watch?v=nSLEZUKLJsc,https://i.ytimg.com/vi/nSLEZUKLJsc/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLA8xQwsPi7FEWTESVF0bjZdlc1egQ,2017-07-09 06:28:41.150892,2017-07-09 06:41:18.701059
246,전신운동 효과빠른다이어트운동 남자복근만들기!,musle,,/watch?v=TSQvkBVUWss,https://i.ytimg.com/vi/TSQvkBVUWss/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDfLXM7Cg0UpH7ginlPbyjlJk_jaw,2017-07-09 06:28:41.154187,2017-07-09 06:41:19.060922
247,"복근운동, 복근만들 여자 남자 - Floor Wiper",musle,,/watch?v=pr5N2Z2E0T4,https://i.ytimg.com/vi/pr5N2Z2E0T4/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLC3Xb9OcO9LZejAud85_9YLKPe5gw,2017-07-09 06:28:41.159480,2017-07-09 06:41:19.579805
248,젠요가 남자 뱃살 빼는 최고의 운동 (남자요가),musle,,/watch?v=i8yhEMvU38k,https://i.ytimg.com/vi/i8yhEMvU38k/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLB_DX0H_T23lhbFwmB41aUCPto16g,2017-07-09 06:28:41.163630,2017-07-09 06:41:19.923946
249,[복근운동] 옆구리살 제거운동 사이드 크런치,musle,,/watch?v=Pnhqa35oozA,https://i.ytimg.com/vi/Pnhqa35oozA/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAQA21LoTCl_ZnEIoRl6C8ISW6uWA,2017-07-09 06:28:49.185245,2017-07-09 06:41:20.453501
250,이상대 트레이너 - 서서하는 복근 운동 ^^,musle,,/watch?v=hOQzjQWhpZw,https://i.ytimg.com/vi/hOQzjQWhpZw/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBfnOGAL9o4fT0RWAiKi5sC0Ld-1A,2017-07-09 06:28:49.188782,2017-07-09 06:41:20.795383
251,단기간 뱃살 빼기 좋은 다이어트 운동(복부비만운동법 5분 홈트레이닝 뱃살빼는 유산소운동),musle,,/watch?v=uviX5Z7Q85I,https://i.ytimg.com/vi/uviX5Z7Q85I/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAd10ZFyVIKjoq4RwGmTV38yWV77Q,2017-07-09 06:28:49.191460,2017-07-09 06:41:21.147469
252,하루 15분 운동으로 복부비만 해결하는 다이어트 방법,musle,,/watch?v=HtepRj4TzSo,https://i.ytimg.com/vi/HtepRj4TzSo/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAf0jRPqmsCXOIIT7xyE7f1WyVdFA,2017-07-09 06:28:49.194556,2017-07-09 06:41:21.700257
253,4분 남자 맨몸 복근운동,musle,,/watch?v=rz2W-XInSTs,https://i.ytimg.com/vi/rz2W-XInSTs/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAocSnQaG_ck4upB0U2AP0pxTehMw,2017-07-09 06:28:49.197699,2017-07-09 06:41:22.067525
254,"레그레이즈 자세&꿀팁 (하복부 운동, 식스팩 만들기)",musle,,/watch?v=jyC0yvJF6aQ,https://i.ytimg.com/vi/jyC0yvJF6aQ/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLB4buUfAM2MB2DSZ9BlgRgIkmS3Fw,2017-07-09 06:28:49.200340,2017-07-09 06:41:22.436330
255,남자운동루틴 집에서 하체운동으로 말벅지가 되는 방법!,musle,,/watch?v=kj4HX8D5kUw,https://i.ytimg.com/vi/kj4HX8D5kUw/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLD2u86DmHnNxLAfwajskOxobiGUJQ,2017-07-09 06:30:26.632957,2017-07-09 06:41:22.868035
